subject,reading,part_of_speech,definition,explanation,JLPT
～に〜ない,〜に〜ない,,"Cannot even...if wants, Would like to...but cannot, Wants to...but cannot","に～ない is a construction which appears with repeating verbs in Japanese to indicate that one 'cannot (A) even if they want to', or 'due to some circumstances, can't (A)'. the case marking particle に will appear after a verb in its dictionary form , before the potential form of the same verb will be negated with ない. In this way, the more literal meaning is 'for (A), (A) is not possible'. It will be important to keep in mind that する does not have a potential form, so できない will be used in the latter half of this expression when paired with する verbs. Additionally, ない may sometimes be replaced with other structures that convey negation, such as ず. Caution Occasionally, the dictionary form of a verb will be replaced with the auxiliary verb う or よう volitional forms, and will then be followed by にも. The potential form of the same verb coming before ない will remain the same. Although the meanings are the same between both of these, the dictionary form tends to highlight psychological circumstances for why one 'cannot (A)', while the volitional form highlights more concrete or physical circumstances.",N1
の内で,～のうち(で),,"Of the, Among(st)","Coming from the noun 内 'within', のうち is a grammar pattern that appears after nouns or numbers, in order to signify 'amongst (A)' in the same way as の 中 . Like の 中 , のうち is often followed by で. However, it can also be followed by の when attached directly to another number. The noun specified by の 内 may represent a range or a limit, and is not limited to appearing with numbers. Like の 中 , it may also appear followed by から in place of で. のうち is far less common than のなか when specifying 'amongst', due to this, のなか will be the preferred (more natural) option in speech. Additionally, although coming from 内 , the kanji form is far less common than plain hiragana.",N2
う,〜ようとしない,,"Not willing to, Not make an effort to, To not attempt or try to, Volitional + としない","Like ～ ようと思う 'I think that I shall do (A)', ～ようとしない is a combination of a verb that has been grouped with the auxiliary verb う (or よう ), followed by the case marking particle と, and then another verb. In this case, する . ～ ようとしない is often translated as 'shall not (A)', but with emphasis on a lack of effort, or willingness. Caution As  ～ようとしない implies a lack of effort, this expression is usually quite negative, and mostly refers to other people, rather than the speaker themselves. If ～ようとしない were used to refer to the speaker, it will come across as 'I shall not do (A)', which would sound very abrupt/potentially rude. If speaking about yourself, ようと 思 わない may be used instead, meaning 'I don't think I shall do (A)', or 'I think I shan't do (A)'.",N3
よう,〜ようとしない,,"Not willing to, Not make an effort to, To not attempt or try to, Volitional + としない","Like ～ ようと思う 'I think that I shall do (A)', ～ようとしない is a combination of a verb that has been grouped with the auxiliary verb う (or よう ), followed by the case marking particle と, and then another verb. In this case, する . ～ ようとしない is often translated as 'shall not (A)', but with emphasis on a lack of effort, or willingness. Caution As  ～ようとしない implies a lack of effort, this expression is usually quite negative, and mostly refers to other people, rather than the speaker themselves. If ～ようとしない were used to refer to the speaker, it will come across as 'I shall not do (A)', which would sound very abrupt/potentially rude. If speaking about yourself, ようと 思 わない may be used instead, meaning 'I don't think I shall do (A)', or 'I think I shan't do (A)'.",N3
う,ようが～まいが,,"Even if, No matter what, Whether or not, [Emphatic], Volitional + が","When both the positive and negative volitional auxiliary verbs are combined with a verb in Japanese, it has the nuance of 'whether or not (A)', the result will be (B)'. This is quite emphatic, and has a literal meaning similar to 'say it does (A) or say it doesn't (A), it will still be (B)'. As a reminder, the positive auxiliary verbs of volition are either う or よう, depending on what they are being connected to, while the negative auxiliary verb of volition is まい. Either the case marking particle が or と will appear after both the positive and the negative, with が being slightly more common. While this structure is primarily seen after verbs, it is important to remember that other auxiliary verbs such as だ can be conjugated in the same way, as can い-Adjectives with the less common かろう structure. This means that both nouns, な-Adjectives and い-Adjectives can also appear using a similar grammar pattern. However, because the negative volitional まい cannot pair with these structures, an antonym will usually appear with them instead, with both words using the う or よう positive volitional. Based primarily on the use of volitionals, this grammar pattern will often indicate the speaker's strong will or opinion that will not change regardless of (A).",N1
よう,ようが～まいが,,"Even if, No matter what, Whether or not, [Emphatic], Volitional + が","When both the positive and negative volitional auxiliary verbs are combined with a verb in Japanese, it has the nuance of 'whether or not (A)', the result will be (B)'. This is quite emphatic, and has a literal meaning similar to 'say it does (A) or say it doesn't (A), it will still be (B)'. As a reminder, the positive auxiliary verbs of volition are either う or よう, depending on what they are being connected to, while the negative auxiliary verb of volition is まい. Either the case marking particle が or と will appear after both the positive and the negative, with が being slightly more common. While this structure is primarily seen after verbs, it is important to remember that other auxiliary verbs such as だ can be conjugated in the same way, as can い-Adjectives with the less common かろう structure. This means that both nouns, な-Adjectives and い-Adjectives can also appear using a similar grammar pattern. However, because the negative volitional まい cannot pair with these structures, an antonym will usually appear with them instead, with both words using the う or よう positive volitional. Based primarily on the use of volitionals, this grammar pattern will often indicate the speaker's strong will or opinion that will not change regardless of (A).",N1
んだ,～んです・のです,exp,"Explanatory, Emphasis, The fact is","のです is a construction with several different forms, each meaning roughly the same thing. This expression behaves similarly to だ and です by themselves (asserting that something is true). However, the addition of の strengthens the relationship being highlighted. Due to this, it will come across a bit like 'it is a fact that (A)' in English. In these sentences, we can think of the ん , or の as simply adding emphasis to the statement. Due to の adding emphasis, this expression will be heard very frequently in explanations. Caution There is no real difference between ん and の . Only の is considered 'correct Japanese', but ん evolved to make things easier to say. ん is the most common form in spoken Japanese, and the use of の could be considered a bit formal, or 'stiff'. While both the だ and です forms are equally as natural, only the です form will be used if adding か to the end ～んです か . This construction shows that the speaker is looking for an explanation about something.",N5
んです,～んです・のです,exp,"Explanatory, Emphasis, The fact is","のです is a construction with several different forms, each meaning roughly the same thing. This expression behaves similarly to だ and です by themselves (asserting that something is true). However, the addition of の strengthens the relationship being highlighted. Due to this, it will come across a bit like 'it is a fact that (A)' in English. In these sentences, we can think of the ん , or の as simply adding emphasis to the statement. Due to の adding emphasis, this expression will be heard very frequently in explanations. Caution There is no real difference between ん and の . Only の is considered 'correct Japanese', but ん evolved to make things easier to say. ん is the most common form in spoken Japanese, and the use of の could be considered a bit formal, or 'stiff'. While both the だ and です forms are equally as natural, only the です form will be used if adding か to the end ～んです か . This construction shows that the speaker is looking for an explanation about something.",N5
(),Adj限りだ,,"Extremely, Really, Very, As ... as one can be","限 りだ is a structure that follows adjectives in order to indicate that something is 'extremely (A)', or 'as (A) as can be'. This grammar pattern is simply a mix of the noun 限 り, 'limit', and the auxiliary verb だ, or です in the case of a polite sentence. Therefore, the literal meaning is just that something is 'the limit of (A)', where (A) is some describable feature. 限 りだ will follow adjectives in their standard form s. 限 りだ is a fairly formal grammar point that simply aims to highlight the intensity of traits as perceived by the speaker. As this perception is something coming from the speaker, the adjective itself will often be an emotion that the speaker themselves is experiencing, rather than a direct quality of the object, such as its color or shape. Some examples of this are as follows. 嬉 しい - The feeling of happiness, as experienced by the speaker. 頼 もしい - The feeling of reliability, as experienced by the speaker. 羨 ましい - The feeling of jealousy, as experienced by the speaker. 寂 しい - The feeling of lonliness, as experienced by the speaker. 恥 ずかしい - The feeling of embarrassment, as experienced by the speaker. 心強 い - The feeling of reassurance, as experienced by the speaker. As can be seen in all of the examples. The intensity of the adjective is something that will change depending on one speaker to the next, rather than something that the target is doing.",N1
～て,Adjective,prt,"And..., Both and (Conjunctive)","The て form of an い-Adjective , or で form of a noun (or な-Adjective ) is exactly the same as the て form of a verb, in that it carries the meaning of 'and', and is used for linking. Building on from the adjective +て, noun + で grammar point, instead of linking adjectives, adjective + て + (B) is used for linking an adjective to an entire phrase. With this construction, the phrase is simply added after て (with い-Adjectives ), or で (with nouns and な-Adjectives ), without any extra consideration for the phrase following it (this means that the (B) phrase will behave as if it was its own sentence). As with adjective +て, noun + で , it should be noted that て and で are different structures here. て is the same conjunction particle that is used with verbs (meaning that い-Adjectives are similar to verbs), while で is actually a form of だ that is used for conjugation. It is the same で as the one that is used in the formal version of だ , である . Which we will learn later. Caution Like other て forms ( ている 1 , ている 2 , and ている 3 ), the て (or で ) form of other words can have several possible meanings. These meanings are as follows. Linking - Like 'and' in English. Reasons - Like 'with (A)', or 'because of (A)' in English. Manner - Like 'to do (B) in an (A) way' in English. Caution As with all other conjugations of いい , remember that it will be よくて, and not いくて.",N5
～て,Adjective,adj-na,And... (Conjunctive),"The て form of an い-Adjective , or で form of a noun (or な-Adjective ) is exactly the same as the て form of a verb, in that it carries the meaning of 'and', and is used for linking. It will allow us to list multiple qualities/traits of something. For い-Adjectives , we will need to change the last い to く (the form used for conjugation), and then simply add て . For nouns and な-Adjectives , we will need to add で to the base form (not な or だ ). It should be noted that て and で are different structures here. て is the same conjunction particle that is used with verbs (meaning that い-Adjectives are similar to verbs), while で is actually a form of だ that is used for conjugation. It is the same で as the one that is used in the formal version of だ , である . Which we will learn later. Caution Like other て forms ( ている 1 , ている 2 , and ている 3 ), the て (or で ) form of other words can have several possible meanings. These meanings are as follows. Linking - Like 'and' in English. Reasons - Like 'with (A)', or 'because of (A)' in English. Manner - Like 'to do (B) in an (A) way' in English. Caution As with all other conjugations of いい , remember that it will be よくて, and not いくて.",N5
(),Adjective,exp,"The 'one' that... (Indefinite pronoun, Adjective nominalization)","One of the roles that the particle の can take in Japanese is replacing a noun that has already been mentioned, or one that has not been mentioned yet. In this way, it is similar to 'the one that (A)' in English. When using this expression, we will need to use な before の , when a な-Adjective is being used. When using this expression, の will be followed by は , が , or も , depending on what the speaker/writer wants to express. Caution の may be used more than once in the same sentence, referring to the same noun.",N5
させられる,Causative-Passive,,"Verbs (Causative-passive voice), To be made to do something, To be forced to do","When the auxiliary verb せる (or させる ) 'to make/let do' is combined with the auxiliary verb られる 'to be the receiver of', it creates the causative-passive form of verbs in Japanese. These sentences will be from the perspective of the person who has 'been made to do' something, and are very often negative (against the will of the speaker). First, verbs must be conjugated in the same way that they would be with せる , or させる . After that simply remove the る, and then add られる . This will create the verb form させられる (linked with る-Verbs ), or せられる (linked with う-Verbs ). As with the causative form, する and 来 る have special conjugation rules. する will be replaced completely by させられる , while 来 る will become 来 させられる . Caution Unlike with causative verbs, where the actual doer of a sentence (marked with が ) is considered to be the person who 'caused' the action, られる reverses the perspective. This makes the doer (marked with が ) the person who is being 'forced' to do something. When the person that is 'causing' the action appears in a causative-passive sentence, they will be marked with に . Caution れる may not be used in place of られる in causative-passive sentences. This is because せる and させる both have せ (an え sound kana) at the point where they will connect with られる . This is a rule for all verbs with an え sound kana at their conjugation point (excluding the 'potential' use of れる and られる ).",N4
せる,Verb［せる・させる］,,To make/let/have (somebody do something),"In order to express that someone was 'made to do', or 'let do' something, the auxiliary verbs せる and させる will be used. The meaning that せる and させる will convey (when attached to a verb) is called 使役 (causative, employment, or using) in Japanese. A common misconception is that せる and させる are standard conjugations of each verb. However, these auxiliary verbs should be thought of as having their own meaning, in a similar way to how たい , ない, だ , です , and other auxiliaries each have their own meanings. In order to use these grammar structures, remove the る from る-Verbs , and then add させる . For う-Verbs , change the last kana to the あ sound kana from within the same column (except for う, which becomes わ), and then add せる (る becomes ら, む becomes ま, く becomes か, etc.). As usual, する and 来 る have special conjugation rules. する will be replaced completely by させる (in a similar way to how できる completely replaces する in the ' potential ' form). 来 る will become 来 させる . Caution With causative, either に , or を can mark the doer of the action that せる, or させる is linked to (not が). This is because the actual 'doer' of the action is considered to be the person that is making/letting someone perform that action. に will usually imply that someone was 'let' do something, while を implies 'make'. Fun Fact Because the actual 'doer' in causative verb sentences will be marked with が (as is always the case), the literal translation of せる and させる is closer to the following: (A) が (B) に 楽しま せる - For (A) to cause fun 'in' (B). (A) が (B) を 楽しま せる - For (A) to cause fun 'through' (B). It is these standard meanings of the particles に (a location) and を (a target) that will create the 'let', or 'make' nuance when using せる , or させる .",N4
させる,Verb［せる・させる］,,To make/let/have (somebody do something),"In order to express that someone was 'made to do', or 'let do' something, the auxiliary verbs せる and させる will be used. The meaning that せる and させる will convey (when attached to a verb) is called 使役 (causative, employment, or using) in Japanese. A common misconception is that せる and させる are standard conjugations of each verb. However, these auxiliary verbs should be thought of as having their own meaning, in a similar way to how たい , ない, だ , です , and other auxiliaries each have their own meanings. In order to use these grammar structures, remove the る from る-Verbs , and then add させる . For う-Verbs , change the last kana to the あ sound kana from within the same column (except for う, which becomes わ), and then add せる (る becomes ら, む becomes ま, く becomes か, etc.). As usual, する and 来 る have special conjugation rules. する will be replaced completely by させる (in a similar way to how できる completely replaces する in the ' potential ' form). 来 る will become 来 させる . Caution With causative, either に , or を can mark the doer of the action that せる, or させる is linked to (not が). This is because the actual 'doer' of the action is considered to be the person that is making/letting someone perform that action. に will usually imply that someone was 'let' do something, while を implies 'make'. Fun Fact Because the actual 'doer' in causative verb sentences will be marked with が (as is always the case), the literal translation of せる and させる is closer to the following: (A) が (B) に 楽しま せる - For (A) to cause fun 'in' (B). (A) が (B) を 楽しま せる - For (A) to cause fun 'through' (B). It is these standard meanings of the particles に (a location) and を (a target) that will create the 'let', or 'make' nuance when using せる , or させる .",N4
くない,い-Adjectives,adj-na,Not (Adjective),"The negative form of い-Adjectives in Japanese is created by using the conjunctive form of the adjective, followed by ない . conjunctive form just means 'agglutinative', or 'conjunctive' in Japanese. For い-Adjectives , this conjunctive form is created by removing い, and replacing it with く. The ない used with い-Adjectives is considered to be a different word to the ない used with verbs. When used with い-Adjectives , ない itself is also an い-Adjective . This means that it follows the same rules as regular い-Adjectives . Due to ません (the polite negative form) being an auxiliary verb ,  it cannot be conjugated with い-Adjectives in the same way as verbs. As can be seen here, you must first add the verb ある , and then conjugate it into its negative form using the auxiliary verb ません. This is how the polite negative is created. Caution As with regular い-Adjectives , you cannot use だ after ない . です is acceptable to create a semi-polite form, but is best used in spoken language only.",N5
(),Noun＋型,,"Model, Type, Pattern, Kind, Shape, Size(d)","型 , or sometimes 形 , are two kanji that are often used as a suffix , to identify that something is 'shaped', or 'sized' according to (A). The primary reading of both of these kanji is かた, but becomes がた due to 連濁 (sound changes due to conjugation). 型 can be attached directly to the end of nouns, or to い-Adjectives . Occasionally, 型 will be used after the case marking particle の. In these cases, because it is connected to の, and not directly to the noun, it will be read as かた, not がた. Although there are two different kanji that can be used in this expression, 型 will be used far more frequently than 形 . This is primarily due to the base meanings that these kanji have. Those meanings are as follows: 型 - Form (in regard to design, pattern, type, or model). 形 - Shape (in regard to physical shapes only. Square, rectangle, triangle, etc). Due to this, 型 is used when describing any form/pattern that is abstract, while 形 is primarily only used for describing very basic (visible) shapes. Caution Occasionally, 型 may be read as 型 , the 音 読 み (Chinese reading) of 型 . This is primarily when it is paired with other words that also use their 音 読 み, or when it is not acting as a suffix , but part of a set word.",N3
(),Number,,"No more than, Not exceeding, As few as・as little as, Only","The adverbial particle しか is often compared to だけ , in that it also expresses 'only'. However, unlike だけ , しか can only be used in negative statements . Due to this, しか～ない is regularly translated as 'there's only (A)', or 'there's nothing but (A)'. しか～ない may be used to express numbers, or nouns. In this lesson we will examine numbers. To use this construction, the number that you want to express as being 'all that exists' will go before しか , then しか will be followed by a verb in its ない, or ありません form. Fun Fact The main difference between しか and だけ , is that だけ suggests that (A) was 'chosen' from among a group where several other choices exist. しか on the other hand, implies that there are no other choices, and (A) is the only possibility/thing that exists.",N4
(),Number/Amount,,"At least, Sort of, Or so","The は particle has two primary functions. The first is to mark the topic of a sentence, as learned very early in our Japanese language journey. However, the second common usage of は is to highlight contrast (making a comparison). When は is used after a number/counter, it regularly has this comparison meaning. This can be translated as 'or so', or 'at least'. Before は , the counter is regularly followed by くらい (or ぐらい ). This just softens the statement, and further highlights the 'or so' meaning. Despite being translated as 'at least', the comparative meaning of は itself is what creates the nuance of this grammar structure. The thing before は is being highlighted as an amount, while also implying that there are other amounts. This implication of another amount makes は sound as if it could mean 'as opposed to (B)'. So in essence, this grammar structure sounds like 'As for (A), as opposed to (B)', where (B) is not usually mentioned.",N4
(),Particle,,Combined particles,"In Japanese, many particles are often grouped together with the case marking particle の. The primary function of this is to form a link between noun (A), and noun (B). In each of these cases, noun (B) will be considered to have all of the qualities described by noun (A), and the first particle that follows it. The particle that comes before の will always be something that adds some form of immediate information about noun (A). The most common ones are as follows: Noun (A) から の Noun (B) - The (B) that is 'from' (A). Noun (A) と の Noun (B) - The (B) that is 'grouped with' (A). Noun (A) へ の Noun (B) - The (B) that is 'toward' (A). Noun (A) で の Noun (B) - The (B) that 'done with' (A). Noun (A) まで の Noun (B) - The (B) that is 'until' (A). Caution Because noun (A) is describing noun (B), noun (B) will be considered as the subject of the statement. Due to this, particles that usually mark subjects, topics, or objects of actions cannot be paired directly with の. This includes に, も, は, が, and を .",N3
い-,い-Adjective,adj-na,"Was, Were (Past tense)","In order to create the past form of い-Adjectives , you must add the auxiliary verb た to the 'past' conjunction form of the い-Adjective . The past conjunction form is created by removing the い and replacing it with かっ. This structure is equivalent to 'was' in English. 面白 い - 'Interesting' in its base (dictionary form). 面白 かっ - The conjugation form used with た (and several other auxiliary verbs ). From these examples, we can see how the casual past form is constructed. In modern Japanese, simply adding です after た is considered to be the standard polite past form. Caution Although this is considered to be polite by most people, using です after かった is not academically correct Japanese. However, considering how common its usage has become, it may be used in almost any situation confidently.",N5
(-),Question-phrase,,Including questions within sentences,"Often, the adverbial particle か is used in the middle of a sentence, in the same way that it is as a sentence ending particle . The main differences are as follows: Adverbial Particle: 副助詞 - Highlights uncertain things ' 不確 かであること'. This is the same か as in どこか 'somewhere'. Sentence Ending Particle: 終助詞 - Highlights doubts and questions ' 疑問 や 質問 '. This is a direct question. In the case of the adverbial particle か and 'uncertain things', this will almost always be followed by a word that is seeking information about the uncertain thing. As can be seen in these examples, sometimes the adverbial particle will appear by itself, and sometimes it will appear together with the sentence ending particle in the same sentence. However, due to the 'uncertainty' being displayed by the adverbial particle, the question marker at the end of the sentence is not required. Caution This か should not be preceded by だ (or です ), this is why words like どこか and 誰 か are not どこ だか and 誰 だか.",N4
他動詞,他動詞・自動詞,,Done through action vs. occurring on its own,"The two most fundamental divisions that can be made with Japanese verbs are transitive verbs - the subject is moving/acting upon something else, and intransitive verbs - the subject themself is moving/acting. Sometimes these terms are simplified even further to 'other-move' (transitive), and 'self-move' (intransitive). Basically, this is the difference between verbs that require an object marked with を (transitive verbs), and those that only require が , to show that the subject itself is moving (intransitive). In Japanese, there are many transitive/intransitive pairs of verbs, and these will need to be memorized. Fun Fact In Japanese, the two ways in which all verbs can be described are an act/motion  ( 動作 ), and an act/motion upon something ( 作用 ). Fun Fact Although they are not traditionally grouped this way, する and なる may also be thought of as a transitive/intransitive pair. This is due to する always implying that something is being controlled (acted upon), while なる always implies that something happens on its own, or cannot be controlled.",N4
自動詞,他動詞・自動詞,,Done through action vs. occurring on its own,"The two most fundamental divisions that can be made with Japanese verbs are transitive verbs - the subject is moving/acting upon something else, and intransitive verbs - the subject themself is moving/acting. Sometimes these terms are simplified even further to 'other-move' (transitive), and 'self-move' (intransitive). Basically, this is the difference between verbs that require an object marked with を (transitive verbs), and those that only require が , to show that the subject itself is moving (intransitive). In Japanese, there are many transitive/intransitive pairs of verbs, and these will need to be memorized. Fun Fact In Japanese, the two ways in which all verbs can be described are an act/motion  ( 動作 ), and an act/motion upon something ( 作用 ). Fun Fact Although they are not traditionally grouped this way, する and なる may also be thought of as a transitive/intransitive pair. This is due to する always implying that something is being controlled (acted upon), while なる always implies that something happens on its own, or cannot be controlled.",N4
れる,Verb［れる・られる］,,"Was done to ~ by ~, Done without consent, Done to one's dismay","In Japanese, there are several ways to express that something 'passively' happens. All of these are done with the auxiliary verbs れる and られる . Japanese verbs in the passive form behave in a slightly different way than they do in English, so we will examine this difference more closely later. For now, let's focus on れる , られる , and さ れる (the form used with する verbs). Passivity in Japanese means that the person (or thing) that is the target of the action will be the subject of the sentence, rather than the person that is 'doing' whatever verb is being used. You can conjugate any Japanese verb into the passive form in the following way. For う-Verbs (godan verbs), simply replace the last kana with the equivalent あ sound kana from the same row (す becomes さ, つ becomes た, ぶ becomes ば, う becomes わ, like with ない, and so on), then add れる , or られる . For る-Verbs (ichidan verbs), just replace the る with られる . する and くる behave slightly differently than most other verbs. For する , it will become さ れる , while くる will become こ られる . As can be seen in these examples, the 'doer' of the verb will be marked with に , but から can also be used in cases where there is no physical contact with the subject. Caution られる can be used in several different situations. These are listed below. Passive: 受 け 身 - Something happens to the subject as a result of an external force (sometimes sounds negative). Possible: 可能 - There is the possibility for something to be done. Spontaneous: 自発 - Something happens by itself, or 'without instigation'. Respectful: 尊敬 - You are respecting someone by making them the subject of the sentence, despite someone else actually performing the verb. Fun Fact In Japanese, passivity focuses on the lack of control of the subject of the sentence. Due to this, the subject will sometimes be called the なる人, while the doer of the verb is called the する 人. Traditionally, many textbooks use the term ' passive ', simply because there is no equivalent verb type in English ( passive is the closest). However, we would like to introduce the term 'displacement verb'. This just means that the subject of the sentence is being described in a similar way to what happens in keigo (polite speech). Caution But wait, what about れる with る-Verbs ! Well, in Japanese, ら removal words 'ラ 抜 き 言葉 ' are very common. These are words that are able to use れる , instead of られる . The original meaning of both of these auxiliary verbs is exactly the same, but there are cases where ら may not be removed. The standard rules are as follows. ら may be removed - る-Verbs and くる , when the meaning is 'possible'. ら may not be removed - る-Verbs and くる , when the meaning is 'passive', 'spontaneous', or 'respectful'. In both of these sentences, the meaning is exactly the same. However, ラ 抜 き may only be used when られる is being used to highlight ' possibility '.",N4
られる,Verb［れる・られる］,,"Was done to ~ by ~, Done without consent, Done to one's dismay","In Japanese, there are several ways to express that something 'passively' happens. All of these are done with the auxiliary verbs れる and られる . Japanese verbs in the passive form behave in a slightly different way than they do in English, so we will examine this difference more closely later. For now, let's focus on れる , られる , and さ れる (the form used with する verbs). Passivity in Japanese means that the person (or thing) that is the target of the action will be the subject of the sentence, rather than the person that is 'doing' whatever verb is being used. You can conjugate any Japanese verb into the passive form in the following way. For う-Verbs (godan verbs), simply replace the last kana with the equivalent あ sound kana from the same row (す becomes さ, つ becomes た, ぶ becomes ば, う becomes わ, like with ない, and so on), then add れる , or られる . For る-Verbs (ichidan verbs), just replace the る with られる . する and くる behave slightly differently than most other verbs. For する , it will become さ れる , while くる will become こ られる . As can be seen in these examples, the 'doer' of the verb will be marked with に , but から can also be used in cases where there is no physical contact with the subject. Caution られる can be used in several different situations. These are listed below. Passive: 受 け 身 - Something happens to the subject as a result of an external force (sometimes sounds negative). Possible: 可能 - There is the possibility for something to be done. Spontaneous: 自発 - Something happens by itself, or 'without instigation'. Respectful: 尊敬 - You are respecting someone by making them the subject of the sentence, despite someone else actually performing the verb. Fun Fact In Japanese, passivity focuses on the lack of control of the subject of the sentence. Due to this, the subject will sometimes be called the なる人, while the doer of the verb is called the する 人. Traditionally, many textbooks use the term ' passive ', simply because there is no equivalent verb type in English ( passive is the closest). However, we would like to introduce the term 'displacement verb'. This just means that the subject of the sentence is being described in a similar way to what happens in keigo (polite speech). Caution But wait, what about れる with る-Verbs ! Well, in Japanese, ら removal words 'ラ 抜 き 言葉 ' are very common. These are words that are able to use れる , instead of られる . The original meaning of both of these auxiliary verbs is exactly the same, but there are cases where ら may not be removed. The standard rules are as follows. ら may be removed - る-Verbs and くる , when the meaning is 'possible'. ら may not be removed - る-Verbs and くる , when the meaning is 'passive', 'spontaneous', or 'respectful'. In both of these sentences, the meaning is exactly the same. However, ラ 抜 き may only be used when られる is being used to highlight ' possibility '.",N4
れる,れる・られる,,"To be able, Can (Potential)","In addition to ' passive ' verbs, れる and られる (the auxiliary verbs ) are used when expressing possibility ' 可能 '. られる will be attached to the base form of る-Verbs (the form after る has been removed). Note also that れる and られる themselves behave like standard る-Verbs, so can be conjugated into a variety of different tenses in the same way as a standard verb. A common sight in modern Japanese is words where the ら may be removed, 'ラ 抜 き 言葉 ', and れる may be used by itself. However, this is not technically correct Japanese, and may cause confusion in cases where ら is required (with る-Verbs and くる , when られる is expressing 'passivity', 'respect', or 'spontaneous occurrence'). For う-Verbs , they will behave a little differently. Instead of the final kana of the verb changing to an あ sound, and then adding れる (as would be the case with passive verbs), the final kana of the verb will change to an え sound (る will become れ, う will become え, す will become せ, etc.) before adding る. Interestingly, する verbs do not have a ' potential ' form, and the verb できる will be used in its place. Caution ことができる and られる (when used in its ' potential ' meaning) have exactly the same nuance. However, many people consider ことができる to be slightly more polite. Fun Fact When using the potential form, either を or が may be used to mark the 'object'. You will need to be careful though, as this does not apply to できる , which may only ever use が .",N4
られる,れる・られる,,"To be able, Can (Potential)","In addition to ' passive ' verbs, れる and られる (the auxiliary verbs ) are used when expressing possibility ' 可能 '. られる will be attached to the base form of る-Verbs (the form after る has been removed). Note also that れる and られる themselves behave like standard る-Verbs, so can be conjugated into a variety of different tenses in the same way as a standard verb. A common sight in modern Japanese is words where the ら may be removed, 'ラ 抜 き 言葉 ', and れる may be used by itself. However, this is not technically correct Japanese, and may cause confusion in cases where ら is required (with る-Verbs and くる , when られる is expressing 'passivity', 'respect', or 'spontaneous occurrence'). For う-Verbs , they will behave a little differently. Instead of the final kana of the verb changing to an あ sound, and then adding れる (as would be the case with passive verbs), the final kana of the verb will change to an え sound (る will become れ, う will become え, す will become せ, etc.) before adding る. Interestingly, する verbs do not have a ' potential ' form, and the verb できる will be used in its place. Caution ことができる and られる (when used in its ' potential ' meaning) have exactly the same nuance. However, many people consider ことができる to be slightly more polite. Fun Fact When using the potential form, either を or が may be used to mark the 'object'. You will need to be careful though, as this does not apply to できる , which may only ever use が .",N4
～て,Verb[て],,"Non-sequence, And, But (Contrast), Parallel action/state","One of the common functions that the conjunction particle て has, is that it can contrast things that share some sort of relationship. This is similar to the contrastive use of は . In order to identify this nuance of て , we will need to think about whether the things being described are happening one after the other, or are simply describing '(A), and then (B)'. Let's look at some examples. Due to this 'contrast' that is shown with て , sometimes it is translated as 'while (A), also (B)'. The primary difference between this nuance of て , and other 'while' or 'but' grammar points, is that (A) and (B) will always have equal weight/importance in a て sentence. Comparatively, structures like けど , のに , だが and similar points will usually imply that either (A) or (B) is more important in some way.",N4
～て,Verb[て],,"And・and so, Due to, Because of, Since, Conjunctive","One of the functions that the conjunction particle て performs in Japanese is very similar to 'since', or 'due to', in English. Phrases that use this particular (A) て (B) nuance of the て-form primarily express something that is beyond the control of the speaker in the (B) statement. To use this grammar construction, pair the て-form of a verb or い-Adjective with the (B) phrase. In the case of nouns and な-Adjectives , で (the particle) will be used instead. Fun Fact The 'because' nuance of て (or で ) in this grammar construction is primarily influenced by the (B) phrase being something that is uncontrollable, rather than being a different meaning of the particles て , or で themselves. Literally the meaning is closer to the following: (A) て 困 る - Being troubled cannot be controlled, so (A) must have caused it. (A) て 嬉 しい - Being happy cannot be controlled, so (A) must have caused it. (A) て 大変 - Having a problem cannot be controlled, so (A) must have caused it. (A) て びっくり - Being surprised cannot be controlled, so (A) must have caused it. (A) て 疲 れている - Being worn-out cannot be controlled, so (A) must have caused it. (A) て 心配 - Feeling anxiety cannot be controlled, so (A) must have caused it. Many other words, such as the ones listed above will cause て (or で ) to have a similar nuance. てすみません also uses this meaning of て , as すみません is a feeling that the speaker cannot control, relating to the situation being left unfinished.",N4
～て,Verb[て],,Please do for me (Casual request),"In casual speech, てください is often shortened to て . This usually comes across as being a friendly way to say 'please do (A)', but may sound like a very soft order, so is best used with friends/toward people of lower status. This nuance of て is usually able to be identified by appearing at the end of a sentence. Caution Sometimes, other forms of て may appear at the end of a sentence. This happens most often when the speaker has not actually finished speaking, but is thinking about what they want to say next. In these cases, the pronunciation of て will usually be extended (to highlight that the person is thinking). When emphasizing an apology, て may also be used. For this nuance to be conveyed, て will be attached to the 'reason' that the person is apologizing, and may be either positive or negative.",N4
～た,Verb［た・ている］+,exp,"Verb modified noun, Relative clause","In Japanese, if you want to describe something or someone that is performing an action, one of the ways you can do this is through a relative clause. A relative clause is when two phrases are joined into one sentence, rather than two individual sentences. The た (plain-past), or ている (continuous) form of verbs are usually used. る-Verbs and う-Verbs follow their regular conjugation rules when making a relative clause. In the first example, we can see that 'Takashi-san is a man that lives in Tokyo', is one sentence, rather than 'Takashi-san is a man. He lives in Tokyo'. In English, words like 'that', and 'which' are used to create a relative clause. However, seeing as though these words do not exist in Japanese, the first phrase is simply attached to the noun. Caution The ます (polite) forms of verbs may not be used when making a relative clause.",N5
